Protein,NET_FC_Phi,NET_FC_Pi,,,
AT2G38440.1,-2.771756172,0.67693758,,,
AT5G64430.1,-2.023244381,0.55407238,,,
AT5G13160.1,-0.816139698,0.53696537,,,
AT1G02080.2,2.686365128,0,,,
AT1G15440.2,2.057732582,0,,,
AT1G37130.1,-1.453573227,0,,,
AT1G80270.5,1.70253849,0,,,
AT3G06720.2,2.103626251,0,,,
AT4G39260.1,1.746372223,0,,,
AT5G22650.2,2.984905243,0,,,
AT5G27640.3,2.265517235,0,,,
AT5G38840.1,4.303844452,0,,,
AT1G04400.2,-2.452352524,0,,,
AT1G04990.4,-5.193842888,0,,,
AT1G09140.1,3.401964664,0,,,
AT1G20060.9,-2.537203789,0,,,
AT1G20920.7,-2.20835495,0,,,
AT1G20970.1,-1.024497032,0,,,
AT1G29760.1,-3.354750633,0,,,
AT1G30480.1,-1.731819153,0,,,
AT1G36310.2,-4.321295738,0,,,
AT1G47330.2,-1.928996086,0,,,
AT3G19100.1,-2.665376663,0,,,
AT1G49580.1,-2.416696548,0,,,
AT1G50570.2,2.769779205,0,,,
AT1G70520.1,-2.609501839,0,,,
AT1G72440.1,3.7181077,0,,,
AT1G73960.3,-2.955999374,0,,,
AT1G76950.1,-4.100430489,0,,,
AT2G01190.1,-8.288455963,0,,,
AT2G03150.2,-1.909638405,0,,,
AT2G04865.2,-2.373860359,0,,,
AT2G05120.2,2.500935555,0,,,
AT2G19710.1,-1.692109108,0,,,
AT2G25670.2,-3.030837059,0,,,
AT2G28070.2,-2.209568501,0,,,
AT2G35050.2,-4.569795132,0,,,
AT2G35880.3,-1.939173698,0,,,
AT2G36910.1,-1.079914093,0,,,
AT2G39200.1,-3.386886597,0,,,
AT2G39450.1,-2.569814682,0,,,
AT2G44020.1,1.199948311,0,,,
AT2G45460.4,-2.358500481,0,,,
AT2G46020.6,-2.908686638,0,,,
AT2G46170.1,4.493162155,0,,,
AT3G01410.2,-2.577788353,0,,,
AT3G01460.1,-1.158628464,0,,,
AT3G02880.1,-1.884059906,0,,,
AT3G05630.1,-4.429534912,0,,,
AT3G06450.4,2.836008072,0,,,
AT3G06670.1,-2.136872292,0,,,
AT3G07650.4,-2.439325333,0,,,
AT3G12590.2,2.259242058,0,,,
AT3G13224.3,-2.506286621,0,,,
AT3G14890.2,-5.022735596,0,,,
AT3G18730.1,-1.626143456,0,,,
AT3G19770.1,-2.221534729,0,,,
AT3G19840.1,-1.555208206,0,,,
AT3G19860.1,4.380614281,0,,,
AT3G22170.2,-2.193417549,0,,,
AT3G45830.1,-1.788212776,0,,,
AT3G47420.3,-2.683691978,0,,,
AT3G48050.2,-1.096405983,0,,,
AT3G49800.1,4.254380226,0,,,
AT3G53180.1,-0.932064056,0,,,
AT3G55320.1,-1.574826241,0,,,
AT3G60320.1,-1.76641655,0,,,
AT3G61310.1,-5.41721344,0,,,
AT4G00238.1,-1.838256836,0,,,
AT4G01000.2,-0.676416397,0,,,
AT4G02110.2,-1.110560417,0,,,
AT4G02715.2,2.774697304,0,,,
AT4G02720.1,3.347485542,0,,,
AT4G11560.2,-1.903335571,0,,,
AT4G14200.1,-2.907427788,0,,,
AT4G14920.2,-1.881551743,0,,,
AT4G18600.2,-4.573104858,0,,,
AT4G22130.2,-1.705177307,0,,,
AT4G22730.2,2.774276257,0,,,
AT4G24630.1,-1.952918053,0,,,
AT4G32070.2,3.383928299,0,,,
AT4G32610.1,-1.792356968,0,,,
AT4G33400.1,-0.935355186,0,,,
AT4G37120.1,-2.862669945,0,,,
AT4G39910.1,-2.150364876,0,,,
AT5G03040.3,-2.857111454,0,,,
AT5G03540.2,-3.333036423,0,,,
AT5G05100.1,-2.492884636,0,,,
AT5G10070.2,-2.769918442,0,,,
AT5G12350.1,-3.886668205,0,,,
AT5G12410.1,-3.935874939,0,,,
AT5G16590.1,-1.952390671,0,,,
AT5G18500.6,3.18318367,0,,,
AT5G19390.4,-2.633347511,0,,,
AT5G19900.5,-4.318033218,0,,,
AT5G20900.1,-2.626110077,0,,,
AT5G23080.2,-1.452435493,0,,,
AT5G23150.2,-1.69604969,0,,,
AT5G23880.1,-2.619080544,0,,,
AT5G26740.3,-2.88613224,0,,,
AT5G45190.3,-1.91755867,0,,,
AT5G46760.1,-1.280119419,0,,,
AT5G46780.2,1.966086388,0,,,
AT5G48250.1,-2.256972313,0,,,
AT5G52910.1,1.74213028,0,,,
AT5G55300.1,-1.390151978,0,,,
AT5G58040.2,-4.605014801,0,,,
AT5G60580.3,-2.625344276,0,,,
AT5G63110.1,-4.098398209,0,,,
